Subject,Course,Title,Enrolled,"Subject Total"
DANI,100,"Elementary Danish I",8,17
INLB,210,"Land and Indigenous Self-Determination: Introduction to Theoretical Perspectives",9,17
INLB,252,"Introduction to Gender Justice and Indigenous Communities",8,17
GBPR,501,"Biomass Fractionation Chemistry",15,15
INDS,502E,"Interdisciplinary Studies: Thematic Seminars",14,14
SANS,300,"Introductory Sanskrit",14,14
ECPS,310,"International Development and Human Security",12,12
HEBR,202,"Intermediate Biblical Hebrew II",6,12
HEBR,201,"Intermediate Biblical Hebrew I",6,12
AANB,550,"Topics in Animal Welfare",11,11
TIBT,100,"Introduction to Tibetan I",11,11
POLS,200,"Beginner's Polish",10,10
CCST,501,"Seminar in Contemporary Contextual Issues for Museums and Curatorial Practice",8,8
GRS,300,"Global Water and Energy Nexus",8,8
ZOOL,503,"Comparative Animal Physiology Seminar",7,7
LAIS,608,"Academic and Research Practices in Library, Archival and Information Studies",6,6
